repoistory,bundle,linux_x86_arkui_android,mac_arm_arkui_android,mac_arm_arkui_ios,format_check,test
arkui_for_android,@ohos/arkui_for_android,Y,Y,N,Y,,
arkui_for_ios,@ohos/arkui_for_ios,N,N,Y,Y,,
cli,@ohos/cli,N,N,N,Y,,
community,@ohos/community,N,N,N,Y,,
docs,@ohos/docs,N,N,N,Y,,
plugins,@ohos/plugins,Y,Y,Y,Y,,
samples,@ohos/samples,N,N,N,Y,,
xts,@ohos/xts,N,N,N,Y,,
arkxtest,@ohos/arkxtest,Y,Y,Y,Y,,
interface_sdk,@ohos/interface_sdk,Y,Y,Y,Y,,
build_plugins,@ohos/build_plugins,Y,Y,Y,Y,,
app_framework,@ohos/app_framework,Y,Y,Y,Y,,
productdefine,@ohos/productdefine,N,N,N,Y,,
